index,type,l,b,distance,metallicity
255,open,333.75,-5.74,926,-0.03
256,open,221.06,4.56,926,NaN
257,open,349.95,-1,929,NaN
258,open,355.83,1.63,930,-0.66
259,open,133.83,8.63,930,NaN
260,open,313.85,-0.44,932,NaN
261,open,14.3,-0.28,932,NaN
262,open,254.82,-2.06,935,0.12
263,open,332.48,-1.6,937,NaN
264,open,7.31,-1.42,938,-0.33
265,open,352.58,-3.23,938,NaN
266,open,286.78,-1.58,940,NaN
267,open,57.02,0.02,941,NaN
268,open,283.25,-3.88,944,0.02
269,open,286.75,16.93,946,-0.17
270,open,213.39,0.56,946,NaN
271,open,309.55,1.95,949,NaN
272,open,135.74,1.54,950,NaN
273,open,152.07,0.24,950,NaN
274,open,262.57,-2.98,950,NaN
275,open,110.84,2.71,957,NaN
276,open,239.09,-4.69,962,NaN
277,open,77.15,1.67,969,NaN
278,open,246.03,0.41,970,NaN
279,open,280.58,-2.11,970,NaN
280,open,287.93,1.16,973,NaN
281,open,235.48,0.37,974,NaN
282,open,332.57,-1.79,974,NaN
283,open,284.65,-4.28,976,NaN
285,open,67.64,0.24,977,NaN
284,open,205.86,-12.62,977,0.16
286,open,273.9,-3.97,978,NaN
287,open,206.35,3.07,981,NaN
288,open,211.28,3.43,985,NaN
289,open,359.76,-1.88,995,NaN
290,open,1.89,1.2,998,NaN
291,open,118.22,5,1000,NaN
292,open,132.89,2.67,1000,NaN
293,open,138.04,1.49,1000,NaN
294,open,159.25,-3.03,1000,NaN
295,open,230.02,-3.77,1000,NaN
296,open,224.06,1.04,1000,NaN
297,open,106.72,-4.87,1000,NaN
298,open,244.73,-0.4,1005,NaN
299,open,269.78,0.15,1005,NaN
300,open,339.4,2.54,1007,NaN
301,open,338.41,1.23,1011,NaN
302,open,357.93,-1.59,1012,0.09
303,open,319.52,4.57,1014,NaN
304,open,301.3,5.46,1015,NaN
305,open,279.58,-2.08,1020,NaN
306,open,188.58,3.79,1021,NaN
307,open,143.67,7.65,1023,NaN
308,open,233.68,-2.64,1023,NaN
309,open,308.97,-4.25,1025,NaN
310,open,224.25,-1.18,1029,-0.3
311,open,195.86,-16.1,1031,NaN
312,open,221.51,1.11,1031,NaN
313,open,212.63,6.32,1031,NaN
314,open,334.89,17.54,1031,NaN
315,open,332.91,-3.15,1031,NaN
316,open,195.58,-2.93,1032,NaN
317,open,289.29,4.82,1032,NaN
318,open,74.55,1.03,1032,NaN
319,open,300.07,2.94,1036,NaN
320,open,240.05,0.15,1037,-0.1
321,open,142.28,2.53,1037,NaN
322,open,224.22,-1.48,1037,NaN
323,open,240.74,-0.26,1040,NaN
324,open,105.39,9.89,1046,NaN
325,open,306.87,6.31,1050,NaN
326,open,354.11,-0.18,1051,NaN
327,open,340.28,-3.39,1054,NaN
328,open,270.43,-19.24,1055,NaN
329,open,208,-3.36,1056,NaN
330,open,270.83,-6.08,1057,NaN
331,open,268.99,0.78,1063,NaN
332,open,79.91,2.31,1063,NaN
333,open,216.7,-13.92,1068,NaN
334,open,75.1,2.13,1073,NaN
335,open,82.82,5.77,1073,NaN
336,open,42.14,4.71,1075,NaN
337,open,327.2,2.24,1076,NaN
338,open,235.4,-22.29,1077,NaN
339,open,307.9,0.04,1078,NaN
340,open,271.32,-0.66,1079,NaN
341,open,59.21,3.95,1082,NaN
342,open,338.55,-1.04,1085,-1.05
343,open,76.18,-0.54,1087,NaN
344,open,80.35,0.73,1089,NaN
345,open,183.83,-10.88,1092,NaN
346,open,286.87,1.49,1095,NaN
347,open,350.01,-5.12,1096,NaN
348,open,119.92,-0.12,1100,NaN
349,open,131.2,-1.64,1100,NaN
350,open,130.74,2.59,1100,NaN
351,open,171.85,-1.08,1100,NaN
352,open,179.13,-0.25,1100,NaN
353,open,163.23,13.13,1100,NaN
354,open,91.32,2.32,1100,NaN
355,open,95.59,-1.55,1100,NaN
356,open,310.52,0.17,1105,NaN
357,open,333.26,-1.88,1105,NaN
358,open,346.05,1.32,1105,NaN
359,open,304.04,3.27,1106,NaN
360,open,325.05,-2.65,1106,NaN
361,open,173.65,2.89,1110,NaN
362,open,63.65,1.6,1112,NaN
363,open,330.61,3.31,1113,NaN
364,open,341.53,-1.16,1113,NaN
365,open,300.64,-2.01,1115,NaN
366,open,99.07,0.93,1116,NaN
367,open,285.67,-0.32,1122,NaN
368,open,120.22,1.29,1123,NaN
369,open,46.83,1.62,1125,NaN
370,open,25.75,-5.68,1127,NaN
371,open,78.7,2.02,1127,NaN
372,open,26.22,-0.13,1128,NaN
373,open,5.27,-0.59,1134,NaN
374,open,328.83,0.93,1137,NaN
375,open,277.83,-4.42,1138,0.1
376,open,216.01,-10.1,1141,NaN
377,open,72.75,1.33,1142,NaN
378,open,38.62,-1.59,1143,NaN
379,open,172.31,0.7,1144,NaN
380,open,261.93,-5.11,1146,NaN
381,open,314.9,-0.88,1148,NaN
382,open,166.98,-1.01,1150,NaN
383,open,78.59,-2.78,1150,NaN
384,open,336.72,-1.57,1158,NaN
385,open,217.12,-1.45,1159,NaN
386,open,353.93,-1.77,1168,NaN
387,open,102.78,1.2,1169,NaN
388,open,173.04,-0.1,1173,NaN
389,open,16.78,-2.92,1173,NaN
